CDT,UserServiceId,Creator,ServiceName,Username,ServiceStatus,ServicePrice,SavingOffUsed,StartDate,EndDate
2025-06-17,268028,Maidanak,512Mb-15-Day,991869,Pending,,,,
2025-06-17,268029,Nik-Mohammad,1Gb-2Mb-Package,1299996358,Active,,,2025/06/18,2025/07/18
2025-06-17,268030,Wafa-Passaband,1Gb-1Mb-Package,32089655,Active,,,2025/06/18,2025/07/18
2025-06-17,268031,Maidanak,512Mb-15-Day,862027,Pending,,,,
2025-06-17,268032,Maidanak,512Mb-15-Day,866795,Pending,,,,
2025-06-17,268033,Maidanak,512Mb-15-Day,916795,Pending,,,,
2025-06-17,268034,Maidanak,512Mb-15-Day,321116,Pending,,,,
2025-06-17,268035,Wafa-Passaband,1Gb-1Mb-Package,32657412,Active,,,2025/06/19,2025/07/19
2025-06-17,268036,alahyar,512Mb-15-Day,U223z48,Pending,,,,
2025-06-17,268037,Nooraqa,75GB-2Mb-Monthly-Package,Nashan@Karimi,Active,,,2025/06/17,2025/07/17
2025-06-17,268038,Maidanak,512Mb-15-Day,933300,Pending,,,,
2025-06-17,268039,Maidanak,512Mb-15-Day,130948,Pending,,,,
2025-06-17,268040,Maidanak,512Mb-15-Day,480666,Pending,,,,
2025-06-17,268041,Maidanak,512Mb-15-Day,569160,Active,,,2025/06/19,2025/07/04
2025-06-17,268042,alahyar,512Mb-15-Day,U245f67,Active,,,2025/06/17,2025/07/02
2025-06-17,268043,Maidanak,512Mb-15-Day,235601,Active,,,2025/06/19,2025/07/04
2025-06-17,268044,Maidanak,512Mb-15-Day,511711,Active,,,2025/06/20,2025/07/05
2025-06-17,268045,alahyar,512Mb-15-Day,U256e12,Active,,,2025/06/20,2025/07/05
2025-06-17,268046,Maidanak,512Mb-15-Day,137787,Pending,,,,
2025-06-17,268047,Khadem-Charsada,1Gb-2Mb-Package,07840700,Active,,,2025/06/17,2025/07/17
2025-06-17,268048,Maidanak,512Mb-15-Day,651246,Pending,,,,
2025-06-17,268049,alahyar,512Mb-15-Day,U267t56,Active,,,2025/06/17,2025/07/02
2025-06-17,268050,Maidanak,512Mb-15-Day,750455,Pending,,,,
2025-06-17,268051,alahyar,512Mb-15-Day,U278r47,Active,,,2025/06/17,2025/07/02
2025-06-17,268052,Zia-Passaband,2Gb-1Mb-Package,4563433,Active,,,2025/06/17,2025/07/17
2025-06-17,268053,Maidanak,512Mb-15-Day,335155,Pending,,,,
2025-06-17,268054,alahyar,512Mb-15-Day,U289v61,Active,,,2025/06/17,2025/07/02
2025-06-17,268055,alahyar,512Mb-15-Day,U290f59,Active,,,2025/06/17,2025/07/02
2025-06-17,268056,Maidanak,512Mb-15-Day,330519,Pending,,,,
2025-06-17,268057,Khadem-Charsada,1Gb-1Mb-Package,078407000,Active,,,2025/06/17,2025/07/17
2025-06-17,268058,Maidanak,512Mb-15-Day,162173,Pending,,,,
2025-06-17,268059,Khadem-Charsada,1Gb-1Mb-Package,8784460700,Active,,,2025/06/17,2025/07/17
2025-06-17,268060,Maidanak,512Mb-15-Day,605299,Pending,,,,
2025-06-17,268061,Maidanak,512Mb-15-Day,876290,Pending,,,,
2025-06-17,268062,Khadem-Charsada,1Gb-1Mb-Package,0784007070,Active,,,2025/06/17,2025/07/17
2025-06-17,268063,Maidanak,512Mb-15-Day,572137,Pending,,,,
2025-06-17,268064,Khadem-Charsada,1Gb-1Mb-Package,078470700,Active,,,2025/06/18,2025/07/18
2025-06-17,268065,Maidanak,512Mb-15-Day,480269,Pending,,,,
2025-06-17,268066,Khadem-Charsada,1Gb-1Mb-Package,078400700,Active,,,2025/06/17,2025/07/17
2025-06-17,268067,Nik-Mohammad,1Gb-2Mb-Package,1233334578,Active,,,2025/06/20,2025/07/20
2025-06-17,268068,Maidanak,512Mb-15-Day,741659,Pending,,,,
2025-06-17,268069,Khadem-Charsada,1Gb-1Mb-Package,078487800,Active,,,2025/06/17,2025/07/17
2025-06-17,268070,Maidanak,512Mb-15-Day,586427,Pending,,,,
2025-06-17,268071,Khadem-Charsada,1Gb-1Mb-Package,078488707,Active,,,2025/06/17,2025/07/17
2025-06-17,268072,Kakari-Passband,1Gb-1Mb-Package,0747373945,Active,,,2025/06/17,2025/07/17
2025-06-17,268073,Maidanak,512Mb-15-Day,738003,Pending,,,,
2025-06-17,268074,Khadem-Charsada,1Gb-1Mb-Package,078844040,Active,,,2025/06/18,2025/07/18
2025-06-17,268075,Maidanak,512Mb-15-Day,586214,Pending,,,,
2025-06-17,268076,Khadem-Charsada,1Gb-1Mb-Package,078784000,Active,,,2025/06/17,2025/07/17
2025-06-17,268077,Maidanak,512Mb-15-Day,450194,Active,,,2025/06/19,2025/07/04
2025-06-17,268078,Maidanak,512Mb-15-Day,712563,Active,,,2025/06/18,2025/07/03
2025-06-17,268079,Nik-Mohammad,1Gb-2Mb-Package,1255553633,Active,,,2025/06/17,2025/07/17
2025-06-17,268080,Maidanak,512Mb-15-Day,302734,Pending,,,,
2025-06-17,268081,Bashart-Charsada,1Gb-2Mb-Package,pordel,Active,,,2025/06/17,2025/07/17
2025-06-17,268082,Maidanak,512Mb-15-Day,575760,Pending,,,,
2025-06-17,268083,Maidanak,512Mb-15-Day,210680,Pending,,,,
2025-06-17,268084,Nik-Mohammad,1Gb-2Mb-Package,1244455587,Pending,,,,
2025-06-17,268085,Maidanak,5Gb-2Mb-Package,843543,Pending,,,,
2025-06-17,268086,Bashart-Charsada,1Gb-2Mb-Package,shadab,Active,,,2025/06/17,2025/07/17
